(0.780091, -0.706918)
(-0.791605, -0.551406)
(-0.817285, -0.780529)
(0.208500, -0.663844)
(-0.026353, -0.100377)
(0.706517, -0.798209)
(0.394574, -0.675960)
(0.072313, 0.233652)
(-0.435556, -0.717174)
(-0.112859, -0.577783)
(0.016065, 0.009472)
(-0.594436, -0.038565)
(0.465348, -0.227069)
(0.089351, -0.369546)
(0.356043, -0.605540)
(0.858285, 0.493576)
(0.858679, 0.403747)
(-0.532204, -0.114503)
(0.344760, -0.831877)
(0.179806, 0.118714)
(-0.467231, -0.752115)
(0.309370, 0.118289)
(-0.509347, -0.619066)
(0.780108, -0.706919)
(-0.791613, -0.551410)
(-0.817301, -0.780531)
(0.208459, -0.663809)
(-0.026422, -0.100389)
(0.706522, -0.798217)
(0.394576, -0.675976)
(0.072341, 0.233591)
(-0.435576, -0.717187)
(-0.112846, -0.577807)
(0.016015, 0.009482)
(-0.585935, -0.038321)
(0.465349, -0.227103)
(0.089337, -0.369573)
(0.356046, -0.605569)
(0.858705, 0.403800)
(-0.532223, -0.114496)
(0.344778, -0.831916)
(0.179827, 0.118726)
(-0.467234, -0.752135)
(0.309349, 0.118272)
(-0.509366, -0.619069)
(0.780125, -0.706921)
(-0.791620, -0.551415)
(-0.817317, -0.780532)
(0.208417, -0.663775)
(-0.026492, -0.100400)
(0.706526, -0.798224)
(0.394578, -0.675991)
(-0.435595, -0.717199)
(-0.112834, -0.577830)
(0.015965, 0.009492)
(-0.577433, -0.038076)
(0.465350, -0.227136)
(0.089323, -0.369601)
(0.356050, -0.605599)
(-0.532243, -0.114489)
(0.344797, -0.831955)
(0.179848, 0.118739)
(-0.467238, -0.752155)
(0.309328, 0.118256)
(-0.509385, -0.619071)
(0.780142, -0.706923)
(-0.791628, -0.551419)
(-0.817333, -0.780534)
(0.208376, -0.663740)
(-0.026561, -0.100411)
(0.706530, -0.798232)
(0.394580, -0.676007)
(-0.435614, -0.717212)
(-0.112822, -0.577854)
(0.015915, 0.009501)
(0.465350, -0.227169)
(0.089309, -0.369628)
(0.356054, -0.605628)
(-0.532262, -0.114481)
(0.344815, -0.831995)
(0.179869, 0.118752)
(-0.467241, -0.752175)
(0.309308, 0.118239)
(-0.509404, -0.619074)
(0.780158, -0.706924)
(-0.791636, -0.551424)
(-0.817349, -0.780535)
(0.208334, -0.663706)
(-0.026630, -0.100423)
(0.706535, -0.798240)
(0.394583, -0.676023)
(-0.821747, -0.445672)
(-0.435633, -0.717224)
(-0.112809, -0.577877)
(0.015865, 0.009511)
(0.465351, -0.227202)
(0.089295, -0.369656)
(0.356058, -0.605657)
(-0.532281, -0.114474)
(0.344833, -0.832034)
(-0.467245, -0.752195)
(-0.509423, -0.619077)
(0.780175, -0.706926)
(-0.791643, -0.551428)
(-0.817365, -0.780537)
(0.208292, -0.663671)
(-0.026700, -0.100434)
(0.706539, -0.798248)
(0.394585, -0.676038)
(-0.821767, -0.445665)
(-0.435653, -0.717237)
(-0.112797, -0.577901)
(0.015815, 0.009521)
(0.465351, -0.227236)
(0.089280, -0.369683)
(0.356061, -0.605687)
(-0.532300, -0.114467)
(0.344852, -0.832074)
(-0.467249, -0.752216)
(-0.509441, -0.619080)
(0.780192, -0.706927)
(-0.791651, -0.551433)
(-0.817381, -0.780538)
(0.208251, -0.663637)
(-0.026769, -0.100445)
(0.706543, -0.798255)
(0.394587, -0.676054)
(-0.821787, -0.445658)
(-0.435672, -0.717249)
(-0.112785, -0.577924)
(0.465352, -0.227269)
(0.089266, -0.369710)
(0.356065, -0.605716)
(-0.532319, -0.114460)
(0.344870, -0.832113)
(-0.467252, -0.752236)
(-0.509460, -0.619083)
(0.780209, -0.706929)
(-0.791659, -0.551437)
(-0.817397, -0.780539)
(0.208209, -0.663602)
(-0.026838, -0.100457)
(0.706548, -0.798263)
(0.394590, -0.676070)
(-0.821807, -0.445651)
(-0.435691, -0.717262)
(-0.112772, -0.577948)
(0.465352, -0.227302)
(0.089252, -0.369738)
(0.356069, -0.605745)
(-0.530515, -0.113725)
(0.344888, -0.832152)
(-0.467256, -0.752256)
(-0.509479, -0.619086)
(0.780225, -0.706931)
(-0.791667, -0.551442)
(-0.817413, -0.780541)
(0.208168, -0.663568)
(-0.026908, -0.100468)
(0.706552, -0.798271)
(0.394592, -0.676085)
(-0.821827, -0.445644)
(-0.435710, -0.717274)
(-0.112760, -0.577971)
(0.465353, -0.227335)
(0.089238, -0.369765)
(0.356073, -0.605775)
(-0.528099, -0.112713)
(0.344907, -0.832192)
(-0.467259, -0.752276)
(-0.509498, -0.619089)
(0.780242, -0.706932)
(-0.791674, -0.551447)
(-0.817429, -0.780542)
(0.208126, -0.663533)
(-0.026977, -0.100479)
(0.706556, -0.798279)
(0.394594, -0.676101)
(-0.821847, -0.445636)
(-0.435729, -0.717287)
(-0.112748, -0.577995)
(0.465354, -0.227369)
(0.089224, -0.369793)
(0.356076, -0.605804)
(0.344925, -0.832231)
(-0.467263, -0.752296)
(-0.509517, -0.619092)
(0.780259, -0.706934)
(-0.791682, -0.551451)
(-0.817445, -0.780544)
(0.208085, -0.663499)
(0.706560, -0.798286)
(0.394597, -0.676117)
(-0.821867, -0.445629)
(-0.435749, -0.717299)
(-0.112735, -0.578018)
(0.465354, -0.227402)
(0.089210, -0.369820)
(0.356080, -0.605834)
(0.344943, -0.832270)
(-0.467266, -0.752316)
(-0.509536, -0.619095)
(0.780276, -0.706936)
(-0.791690, -0.551456)
(-0.817461, -0.780545)
(0.208043, -0.663464)
(0.706565, -0.798294)
(0.394599, -0.676132)
(-0.821887, -0.445622)
(-0.435768, -0.717312)
(-0.112723, -0.578042)
(0.465355, -0.227435)
(0.089196, -0.369847)
(0.356084, -0.605863)
(0.344962, -0.832310)
(-0.467270, -0.752336)
(-0.509555, -0.619098)
(0.780292, -0.706937)
(-0.791698, -0.551460)
(-0.817477, -0.780547)
(0.208001, -0.663430)
(0.706569, -0.798302)
(0.394601, -0.676148)
(-0.821907, -0.445615)
(0.294066, 0.613387)
(-0.435268, -0.716987)
(-0.113044, -0.577430)
(-0.109010, 0.393561)
(-0.508570, 0.574497)
(0.016816, 0.009327)
(-0.608757, -0.038649)
(0.465340, -0.226571)
(0.089561, -0.369135)
(0.355986, -0.605099)
(0.009155, 0.704595)
(0.857646, 0.494011)
(0.858293, 0.402954)
(-0.531917, -0.114612)
(0.344485, -0.831287)
(0.615790, 0.733249)
(0.179488, 0.118521)
(-0.467178, -0.751814)
(0.309678, 0.118538)
(-0.450318, 0.050261)
(-0.509063, -0.619022)
(0.779857, -0.706894)
(0.214477, 0.396064)
(0.602977, 0.640697)
(0.209082, -0.664327)
(0.630028, 0.818317)
(0.569531, 0.681015)
(-0.025383, -0.100219)
(0.706457, -0.798100)
(0.394541, -0.675741)
(0.071926, 0.234500)
(-0.493877, 0.229155)
(0.503782, 0.750060)
(0.294050, 0.613416)
(-0.435287, -0.716999)
(-0.113032, -0.577454)
(-0.109066, 0.393550)
(0.016766, 0.009337)
(-0.608788, -0.038661)
(0.465340, -0.226604)
(0.089547, -0.369162)
(0.355990, -0.605128)
(0.009148, 0.704610)
(0.857689, 0.493982)
(0.858319, 0.403007)
(-0.531936, -0.114605)
(0.344503, -0.831326)
(0.615793, 0.733271)
(0.179509, 0.118534)
(-0.467182, -0.751834)
(0.309658, 0.118521)
(-0.450279, 0.050308)
(-0.509082, -0.619025)
(0.779874, -0.706896)
(0.214483, 0.396077)
(0.602987, 0.640700)
(0.209041, -0.664293)
(0.630032, 0.818339)
(0.569536, 0.681022)
(-0.025452, -0.100230)
(0.706462, -0.798108)
(0.394544, -0.675756)
(0.071954, 0.234440)
(-0.493893, 0.229161)
(0.503786, 0.750071)
(0.294034, 0.613445)
(-0.435306, -0.717012)
(-0.113019, -0.577477)
(-0.109123, 0.393539)
(0.016716, 0.009346)
(-0.608819, -0.038673)
(0.465341, -0.226637)
(0.089533, -0.369190)
(0.355994, -0.605158)
(0.009142, 0.704625)
(0.857731, 0.493953)
(0.858345, 0.403060)
(-0.531955, -0.114598)
(0.344521, -0.831365)
(0.615796, 0.733294)
(0.179530, 0.118547)
(-0.467185, -0.751854)
(0.309637, 0.118505)
(-0.450240, 0.050355)
(-0.509101, -0.619028)
(0.779890, -0.706898)
(0.214489, 0.396090)
(0.602996, 0.640703)
(0.208999, -0.664258)
(0.630036, 0.818362)
(0.569541, 0.681029)
(-0.025521, -0.100242)
(0.706466, -0.798116)
(0.394546, -0.675772)
(0.071982, 0.234379)
(-0.493909, 0.229167)
(0.503791, 0.750082)
(0.294018, 0.613474)
(-0.435326, -0.717024)
(-0.113007, -0.577501)
(-0.109179, 0.393528)
(0.016666, 0.009356)
(-0.608849, -0.038685)
(0.465341, -0.226670)
(0.089519, -0.369217)
(0.355998, -0.605187)
(0.009135, 0.704641)
(0.857774, 0.493924)
(0.858370, 0.403113)
(-0.531974, -0.114591)
(0.344540, -0.831405)
(0.615799, 0.733316)
(0.179552, 0.118560)
(-0.467189, -0.751874)
(0.309616, 0.118488)
(-0.450201, 0.050403)
(-0.509120, -0.619031)
(0.779907, -0.706899)
(0.214495, 0.396103)
(0.603005, 0.640705)
(0.208958, -0.664224)
(0.630040, 0.818384)
(0.569546, 0.681036)
(-0.025591, -0.100253)
(0.706470, -0.798124)
(0.394548, -0.675788)
(0.072009, 0.234318)
(-0.493925, 0.229172)
(0.503796, 0.750093)
(0.294002, 0.613503)
(-0.435345, -0.717037)
(-0.112995, -0.577525)
(-0.109235, 0.393517)
(0.016616, 0.009366)
(-0.608880, -0.038697)
(0.465342, -0.226704)
(0.089505, -0.369245)
(0.356001, -0.605217)
(0.009128, 0.704656)
(0.857816, 0.493895)
(0.858396, 0.403166)
(-0.531993, -0.114583)
(0.344558, -0.831444)
(0.615802, 0.733338)
(0.179573, 0.118573)
(-0.467192, -0.751894)
(0.309596, 0.118471)
(-0.450162, 0.050450)
(-0.509139, -0.619034)
(0.779924, -0.706901)
(0.214502, 0.396116)
(0.603015, 0.640708)
(0.208916, -0.664189)
(0.630044, 0.818407)
(0.569551, 0.681043)
(-0.025660, -0.100264)
(0.706475, -0.798131)
(0.394551, -0.675803)
(0.072037, 0.234258)
(-0.493941, 0.229178)
(0.503801, 0.750104)
(0.293986, 0.613533)
(-0.435364, -0.717049)
(-0.112982, -0.577548)
(-0.109292, 0.393506)
(0.016566, 0.009375)
(-0.608911, -0.038709)
(0.465343, -0.226737)
(0.089491, -0.369272)
(0.356005, -0.605246)
(0.009122, 0.704672)
(0.857859, 0.493866)
(0.858422, 0.403219)
(-0.532012, -0.114576)
(0.344576, -0.831483)
(0.615804, 0.733360)
(0.179594, 0.118586)
(-0.467196, -0.751914)
(0.309575, 0.118455)
(-0.450123, 0.050498)
(-0.509158, -0.619037)
(0.779941, -0.706903)
(0.214508, 0.396129)
(0.603024, 0.640711)
(0.208875, -0.664155)
(0.630049, 0.818429)
(0.569556, 0.681050)
(-0.025729, -0.100276)
(0.706479, -0.798139)
(0.394553, -0.675819)
(0.072065, 0.234197)
(-0.493957, 0.229183)
(0.503806, 0.750115)
(0.293970, 0.613562)
(-0.435383, -0.717062)
(-0.112970, -0.577572)
(-0.109348, 0.393495)
(0.016516, 0.009385)
(-0.608941, -0.038721)
(0.465343, -0.226770)
(0.089477, -0.369299)
(0.356009, -0.605275)
(0.009115, 0.704687)
(0.857902, 0.493837)
(0.858448, 0.403271)
(-0.532032, -0.114569)
(0.344595, -0.831523)
(0.615807, 0.733382)
(0.179615, 0.118598)
(-0.467199, -0.751934)
(0.309555, 0.118438)
(-0.450084, 0.050545)
(-0.509176, -0.619040)
(0.779957, -0.706904)
(0.214514, 0.396141)
(0.603033, 0.640714)
(0.208833, -0.664120)
(0.630053, 0.818452)
(0.569561, 0.681057)
(-0.025798, -0.100287)
(0.706483, -0.798147)
(0.394555, -0.675835)
(0.072092, 0.234137)
(-0.493973, 0.229189)
(0.503810, 0.750126)
(0.294066, 0.613387)
(-0.435268, -0.716987)
(-0.113044, -0.577430)
(-0.109010, 0.393561)
(-0.508570, 0.574497)
(0.016816, 0.009327)
(-0.608757, -0.038649)
(0.465340, -0.226571)
(0.089561, -0.369135)
(0.355986, -0.605099)
(0.009155, 0.704595)
(0.857646, 0.494011)
(0.858293, 0.402954)
(-0.531917, -0.114612)
(0.344485, -0.831287)
(0.615790, 0.733249)
(0.179488, 0.118521)
(-0.467178, -0.751814)
(0.309678, 0.118538)
(-0.450318, 0.050261)
(-0.509063, -0.619022)
(0.779857, -0.706894)
(0.214477, 0.396064)
(0.602977, 0.640697)
(0.209082, -0.664327)
(0.630028, 0.818317)
(0.569531, 0.681015)
(-0.025383, -0.100219)
(0.706457, -0.798100)
(0.394541, -0.675741)
(0.071926, 0.234500)
(-0.493877, 0.229155)
(0.503782, 0.750060)
(0.294050, 0.613416)
(-0.435287, -0.716999)
(-0.113032, -0.577454)
(-0.109066, 0.393550)
(0.016766, 0.009337)
(-0.608788, -0.038661)
(0.465340, -0.226604)
(0.089547, -0.369162)
(0.355990, -0.605128)
(0.009148, 0.704610)
(0.857689, 0.493982)
(0.858319, 0.403007)
(-0.531936, -0.114605)
(0.344503, -0.831326)
(0.615793, 0.733271)
(0.179509, 0.118534)
(-0.467182, -0.751834)
(0.309658, 0.118521)
(-0.450279, 0.050308)
(-0.509082, -0.619025)
(0.779874, -0.706896)
(0.214483, 0.396077)
(0.602987, 0.640700)
(0.209041, -0.664293)
(0.630032, 0.818339)
(0.569536, 0.681022)
(-0.025452, -0.100230)
(0.706462, -0.798108)
(0.394544, -0.675756)
(0.071954, 0.234440)
(-0.493893, 0.229161)
(0.503786, 0.750071)
(0.294066, 0.613387)
(-0.435268, -0.716987)
(-0.113044, -0.577430)
(-0.109010, 0.393561)
(-0.508570, 0.574497)
(0.016816, 0.009327)
(-0.608757, -0.038649)
(0.465340, -0.226571)
(0.089561, -0.369135)
(0.355986, -0.605099)
(0.009155, 0.704595)
(0.857646, 0.494011)
(0.858293, 0.402954)
(-0.531917, -0.114612)
(0.344485, -0.831287)
(0.615790, 0.733249)
(0.179488, 0.118521)
(-0.467178, -0.751814)
(0.309678, 0.118538)
(-0.450318, 0.050261)
(-0.509063, -0.619022)
(0.779857, -0.706894)
(0.214477, 0.396064)
(0.602977, 0.640697)
(0.209082, -0.664327)
(0.630028, 0.818317)
(0.569531, 0.681015)
(-0.025383, -0.100219)
(0.706457, -0.798100)
(0.394541, -0.675741)
(0.071926, 0.234500)
(-0.493877, 0.229155)
(0.503782, 0.750060)
(0.294050, 0.613416)
(-0.435287, -0.716999)
(-0.113032, -0.577454)
(-0.109066, 0.393550)
(0.016766, 0.009337)
(-0.608788, -0.038661)
(0.465340, -0.226604)
(0.089547, -0.369162)
(0.355990, -0.605128)
(0.009148, 0.704610)
(0.857689, 0.493982)
(0.858319, 0.403007)
(-0.531936, -0.114605)
(0.344503, -0.831326)
(0.615793, 0.733271)
(0.179509, 0.118534)
(-0.467182, -0.751834)
(0.309658, 0.118521)
(-0.450279, 0.050308)
(-0.509082, -0.619025)
(0.779874, -0.706896)
(0.214483, 0.396077)
(0.602987, 0.640700)
(0.209041, -0.664293)
(0.630032, 0.818339)
(0.569536, 0.681022)
(-0.025452, -0.100230)
(0.706462, -0.798108)
(0.394544, -0.675756)
(0.071954, 0.234440)
(-0.493893, 0.229161)
(0.503786, 0.750071)
(0.294034, 0.613445)
(-0.435306, -0.717012)
(-0.113019, -0.577477)
(-0.109123, 0.393539)
(0.016716, 0.009346)
(-0.608819, -0.038673)
(0.465341, -0.226637)
(0.089533, -0.369190)
(0.355994, -0.605158)
(0.009142, 0.704625)
(0.857731, 0.493953)
(0.858345, 0.403060)
(-0.531955, -0.114598)
(0.344521, -0.831365)
(0.615796, 0.733294)
(0.179530, 0.118547)
(-0.467185, -0.751854)
(0.309637, 0.118505)
(-0.450240, 0.050355)
(-0.509101, -0.619028)
(0.779890, -0.706898)
(0.214489, 0.396090)
(0.602996, 0.640703)
(0.208999, -0.664258)
(0.630036, 0.818362)
(0.569541, 0.681029)
(-0.025521, -0.100242)
(0.706466, -0.798116)
(0.394546, -0.675772)
(0.071982, 0.234379)
(-0.493909, 0.229167)
(0.503791, 0.750082)
(0.294018, 0.613474)
(-0.435326, -0.717024)
(-0.113007, -0.577501)
(-0.109179, 0.393528)
(0.016666, 0.009356)
(-0.608849, -0.038685)
(0.465341, -0.226670)
(0.089519, -0.369217)
(0.355998, -0.605187)
(0.009135, 0.704641)
(0.857774, 0.493924)
(0.858370, 0.403113)
(-0.531974, -0.114591)
(0.344540, -0.831405)
(0.615799, 0.733316)
(0.179552, 0.118560)
(-0.467189, -0.751874)
(0.309616, 0.118488)
(-0.450201, 0.050403)
(-0.509120, -0.619031)
(0.779907, -0.706899)
(0.214495, 0.396103)
(0.603005, 0.640705)
(0.208958, -0.664224)
(0.630040, 0.818384)
(0.569546, 0.681036)
(-0.025591, -0.100253)
(0.706470, -0.798124)
(0.394548, -0.675788)
(0.072009, 0.234318)
(-0.493925, 0.229172)
(0.503796, 0.750093)
(0.294002, 0.613503)
(-0.435345, -0.717037)
(-0.112995, -0.577525)
(-0.109235, 0.393517)
(0.016616, 0.009366)
(-0.608880, -0.038697)
(0.465342, -0.226704)
(0.089505, -0.369245)
(0.356001, -0.605217)
(0.009128, 0.704656)
(0.857816, 0.493895)
(0.858396, 0.403166)
(-0.531993, -0.114583)
(0.344558, -0.831444)
(0.615802, 0.733338)
(0.179573, 0.118573)
(-0.467192, -0.751894)
(0.309596, 0.118471)
(-0.450162, 0.050450)
(-0.509139, -0.619034)
(0.779924, -0.706901)
(0.214502, 0.396116)
(0.603015, 0.640708)
(0.208916, -0.664189)
(0.630044, 0.818407)
(0.569551, 0.681043)
(-0.025660, -0.100264)
(0.706475, -0.798131)
(0.394551, -0.675803)
(0.072037, 0.234258)
(-0.493941, 0.229178)
(0.503801, 0.750104)
(0.293986, 0.613533)
(-0.435364, -0.717049)
(-0.112982, -0.577548)
(-0.109292, 0.393506)
(0.016566, 0.009375)
(-0.608911, -0.038709)
(0.465343, -0.226737)
(0.089491, -0.369272)
(0.356005, -0.605246)
(0.009122, 0.704672)
(0.857859, 0.493866)
(0.858422, 0.403219)
(-0.532012, -0.114576)
(0.344576, -0.831483)
(0.615804, 0.733360)
(0.179594, 0.118586)
(-0.467196, -0.751914)
(0.309575, 0.118455)
(-0.450123, 0.050498)
(-0.509158, -0.619037)
(0.779941, -0.706903)
(0.214508, 0.396129)
(0.603024, 0.640711)
(0.208875, -0.664155)
(0.630049, 0.818429)
(0.569556, 0.681050)
(-0.025729, -0.100276)
(0.706479, -0.798139)
(0.394553, -0.675819)
(0.072065, 0.234197)
(-0.493957, 0.229183)
(0.503806, 0.750115)
(0.293970, 0.613562)
(-0.435383, -0.717062)
(-0.112970, -0.577572)
(-0.109348, 0.393495)
(0.016516, 0.009385)
(-0.608941, -0.038721)
(0.465343, -0.226770)
(0.089477, -0.369299)
(0.356009, -0.605275)
(0.009115, 0.704687)
(0.857902, 0.493837)
(0.858448, 0.403271)
(-0.532032, -0.114569)
(0.344595, -0.831523)
(0.615807, 0.733382)
(0.179615, 0.118598)
(-0.467199, -0.751934)
(0.309555, 0.118438)
(-0.450084, 0.050545)
(-0.509176, -0.619040)
(0.779957, -0.706904)
(0.214514, 0.396141)
(0.603033, 0.640714)
(0.208833, -0.664120)
(0.630053, 0.818452)
(0.569561, 0.681057)
(-0.025798, -0.100287)
(0.706483, -0.798147)
(0.394555, -0.675835)
(0.072092, 0.234137)
(-0.493973, 0.229189)
(0.503810, 0.750126)
(0.293954, 0.613591)
(-0.435403, -0.717074)
(-0.112958, -0.577595)
(-0.109404, 0.393484)
(0.016466, 0.009395)
(-0.608972, -0.038733)
(0.465344, -0.226803)
(0.089463, -0.369327)
(0.356013, -0.605305)
(0.857944, 0.493808)
(0.858473, 0.403324)
(-0.532051, -0.114561)
(0.344613, -0.831562)
(0.615810, 0.733404)
(0.179636, 0.118611)
(-0.467203, -0.751955)
(0.309534, 0.118422)
(-0.450045, 0.050592)
(-0.509195, -0.619042)
(0.779974, -0.706906)
(0.214520, 0.396154)
(0.603043, 0.640717)
(0.208791, -0.664086)
(0.630057, 0.818474)
(0.569566, 0.681064)
(-0.025868, -0.100298)
(0.706487, -0.798155)
(0.394557, -0.675850)
(0.072120, 0.234076)
(-0.493989, 0.229195)
(0.503815, 0.750137)
(0.293938, 0.613620)
(-0.435422, -0.717087)
(-0.112945, -0.577619)
(-0.109460, 0.393473)
(0.016416, 0.009404)
(-0.609003, -0.038745)
(0.465344, -0.226837)
(0.089449, -0.369354)
(0.356016, -0.605334)
(0.857987, 0.493779)
(0.858499, 0.403377)
(-0.532070, -0.114554)
(0.344632, -0.831601)
(0.615813, 0.733426)
(0.179657, 0.118624)
(-0.467206, -0.751975)
(0.309514, 0.118405)
(-0.450006, 0.050640)
(-0.509214, -0.619045)
(0.779991, -0.706908)
(0.214526, 0.396167)
(0.603052, 0.640720)
(0.208750, -0.664051)
(0.630061, 0.818497)
(0.569571, 0.681071)
(-0.025937, -0.100310)
(0.706492, -0.798162)
(0.394560, -0.675866)
(0.072148, 0.234015)
(0.503820, 0.750147)
(0.294066, 0.613387)
(-0.435268, -0.716987)
(-0.113044, -0.577430)
(-0.109010, 0.393561)
(-0.508570, 0.574497)
(0.016816, 0.009327)
(-0.608757, -0.038649)
(0.465340, -0.226571)
(0.089561, -0.369135)
(0.355986, -0.605099)
(0.009155, 0.704595)
(0.857646, 0.494011)
(0.858293, 0.402954)
(-0.531917, -0.114612)
(0.344485, -0.831287)
(0.615790, 0.733249)
(0.179488, 0.118521)
(-0.467178, -0.751814)
(0.309678, 0.118538)
(-0.450318, 0.050261)
(-0.509063, -0.619022)
(0.779857, -0.706894)
(0.214477, 0.396064)
(0.602977, 0.640697)
(0.209082, -0.664327)
(0.630028, 0.818317)
(0.569531, 0.681015)
(-0.025383, -0.100219)
(0.706457, -0.798100)
(0.394541, -0.675741)
(0.071926, 0.234500)
(-0.493877, 0.229155)
(0.503782, 0.750060)
(0.294050, 0.613416)
(-0.435287, -0.716999)
(-0.113032, -0.577454)
(-0.109066, 0.393550)
(0.016766, 0.009337)
(-0.608788, -0.038661)
(0.465340, -0.226604)
(0.089547, -0.369162)
(0.355990, -0.605128)
(0.009148, 0.704610)
(0.857689, 0.493982)
(0.858319, 0.403007)
(-0.531936, -0.114605)
(0.344503, -0.831326)
(0.615793, 0.733271)
(0.179509, 0.118534)
(-0.467182, -0.751834)
(0.309658, 0.118521)
(-0.450279, 0.050308)
(-0.509082, -0.619025)
(0.779874, -0.706896)
(0.214483, 0.396077)
(0.602987, 0.640700)
(0.209041, -0.664293)
(0.630032, 0.818339)
(0.569536, 0.681022)
(-0.025452, -0.100230)
(0.706462, -0.798108)
(0.394544, -0.675756)
(0.071954, 0.234440)
(-0.493893, 0.229161)
(0.503786, 0.750071)
(0.294034, 0.613445)
(-0.435306, -0.717012)
(-0.113019, -0.577477)
(-0.109123, 0.393539)
(0.016716, 0.009346)
(-0.608819, -0.038673)
(0.465341, -0.226637)
(0.089533, -0.369190)
(0.355994, -0.605158)
(0.009142, 0.704625)
(0.857731, 0.493953)
(0.858345, 0.403060)
(-0.531955, -0.114598)
(0.344521, -0.831365)
(0.615796, 0.733294)
(0.179530, 0.118547)
(-0.467185, -0.751854)
(0.309637, 0.118505)
(-0.450240, 0.050355)
(-0.509101, -0.619028)
(0.779890, -0.706898)
(0.214489, 0.396090)
(0.602996, 0.640703)
(0.208999, -0.664258)
(0.630036, 0.818362)
(0.569541, 0.681029)
(-0.025521, -0.100242)
(0.706466, -0.798116)
(0.394546, -0.675772)
(0.071982, 0.234379)
(-0.493909, 0.229167)
(0.503791, 0.750082)
(0.294018, 0.613474)
(-0.435326, -0.717024)
(-0.113007, -0.577501)
(-0.109179, 0.393528)
(0.016666, 0.009356)
(-0.608849, -0.038685)
(0.465341, -0.226670)
(0.089519, -0.369217)
(0.355998, -0.605187)
(0.009135, 0.704641)
(0.857774, 0.493924)
(0.858370, 0.403113)
(-0.531974, -0.114591)
(0.344540, -0.831405)
(0.615799, 0.733316)
(0.179552, 0.118560)
(-0.467189, -0.751874)
(0.309616, 0.118488)
(-0.450201, 0.050403)
(-0.509120, -0.619031)
(0.779907, -0.706899)
(0.214495, 0.396103)
(0.603005, 0.640705)
(0.208958, -0.664224)
(0.630040, 0.818384)
(0.569546, 0.681036)
(-0.025591, -0.100253)
(0.706470, -0.798124)
(0.394548, -0.675788)
(0.072009, 0.234318)
(-0.493925, 0.229172)
(0.503796, 0.750093)
(0.294002, 0.613503)
(-0.435345, -0.717037)
(-0.112995, -0.577525)
(-0.109235, 0.393517)
(0.016616, 0.009366)
(-0.608880, -0.038697)
(0.465342, -0.226704)
(0.089505, -0.369245)
(0.356001, -0.605217)
(0.009128, 0.704656)
(0.857816, 0.493895)
(0.858396, 0.403166)
(-0.531993, -0.114583)
(0.344558, -0.831444)
(0.615802, 0.733338)
(0.179573, 0.118573)
(-0.467192, -0.751894)
(0.309596, 0.118471)
(-0.450162, 0.050450)
(-0.509139, -0.619034)
(0.779924, -0.706901)
(0.214502, 0.396116)
(0.603015, 0.640708)
(0.208916, -0.664189)
(0.630044, 0.818407)
(0.569551, 0.681043)
(-0.025660, -0.100264)
(0.706475, -0.798131)
(0.394551, -0.675803)
(0.072037, 0.234258)
(-0.493941, 0.229178)
(0.503801, 0.750104)
(0.293986, 0.613533)
(-0.435364, -0.717049)
(-0.112982, -0.577548)
(-0.109292, 0.393506)
(0.016566, 0.009375)
(-0.608911, -0.038709)
(0.465343, -0.226737)
(0.089491, -0.369272)
(0.356005, -0.605246)
(0.009122, 0.704672)
(0.857859, 0.493866)
(0.858422, 0.403219)
(-0.532012, -0.114576)
(0.344576, -0.831483)
(0.615804, 0.733360)
(0.179594, 0.118586)
(-0.467196, -0.751914)
(0.309575, 0.118455)
(-0.450123, 0.050498)
(-0.509158, -0.619037)
(0.779941, -0.706903)
(0.214508, 0.396129)
(0.603024, 0.640711)
(0.208875, -0.664155)
(0.630049, 0.818429)
(0.569556, 0.681050)
(-0.025729, -0.100276)
(0.706479, -0.798139)
(0.394553, -0.675819)
(0.072065, 0.234197)
(-0.493957, 0.229183)
(0.503806, 0.750115)
(0.293970, 0.613562)
(-0.435383, -0.717062)
(-0.112970, -0.577572)
(-0.109348, 0.393495)
(0.016516, 0.009385)
(-0.608941, -0.038721)
(0.465343, -0.226770)
(0.089477, -0.369299)
(0.356009, -0.605275)
(0.009115, 0.704687)
(0.857902, 0.493837)
(0.858448, 0.403271)
(-0.532032, -0.114569)
(0.344595, -0.831523)
(0.615807, 0.733382)
(0.179615, 0.118598)
(-0.467199, -0.751934)
(0.309555, 0.118438)
(-0.450084, 0.050545)
(-0.509176, -0.619040)
(0.779957, -0.706904)
(0.214514, 0.396141)
(0.603033, 0.640714)
(0.208833, -0.664120)
(0.630053, 0.818452)
(0.569561, 0.681057)
(-0.025798, -0.100287)
(0.706483, -0.798147)
(0.394555, -0.675835)
(0.072092, 0.234137)
(-0.493973, 0.229189)
(0.503810, 0.750126)
(0.293954, 0.613591)
(-0.435403, -0.717074)
(-0.112958, -0.577595)
(-0.109404, 0.393484)
(0.016466, 0.009395)
(-0.608972, -0.038733)
(0.465344, -0.226803)
(0.089463, -0.369327)
(0.356013, -0.605305)
(0.857944, 0.493808)
(0.858473, 0.403324)
(-0.532051, -0.114561)
(0.344613, -0.831562)
(0.615810, 0.733404)
(0.179636, 0.118611)
(-0.467203, -0.751955)
(0.309534, 0.118422)
(-0.450045, 0.050592)
(-0.509195, -0.619042)
(0.779974, -0.706906)
(0.214520, 0.396154)
(0.603043, 0.640717)
(0.208791, -0.664086)
